"hgnc"	"model_organism"	"line"	"sex"	"change_percentage"	"p_value"	"sample"	"age_of_control_min"	"age_of_control_mean"	"age_of_control_max"	"age_of_experiment_min"	"age_of_experiment_mean"	"age_of_experiment_max"	"age_unit"	"change_type"	"control_cohort_size"	"experiment_cohort_size"	"statistical_method"	"expression_evaluation_by"	"measurement_method"	"comment"	"doi"	"pmid"
"POLB"	"rat"	"Wistar"	"all"	"18.6%"	"n/a"	"hypothalamus"	"n/a"	"2"	"n/a"	"n/a"	"24"	"n/a"	"months"	"increased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4."	"10.1007/s11064-011-0694-9"	"n/a"
"POLB"	"rat"	"Wistar"	"all"	"21.2%"	"n/a"	"cortex"	"n/a"	"2"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4."	"10.1007/s11064-011-0694-9"	"n/a"
"POLB"	"rat"	"Wistar"	"all"	"38.1%"	"n/a"	"hippocampus"	"n/a"	"2"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4."	"10.1007/s11064-011-0694-9"	"n/a"
"POLB"	"rat"	"Wistar"	"all"	"26.2%"	"n/a"	"liver"	"n/a"	"2"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4."	"10.1007/s11064-011-0694-9"	"n/a"
"POLB"	"rat"	"Wistar"	"all"	"18.6%"	"n/a"	"kidney"	"n/a"	"2"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4."	"10.1007/s11064-011-0694-9"	"n/a"
"POLB"	"rat"	"Wistar"	"all"	"27.7%"	"n/a"	"spleen"	"n/a"	"2"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4."	"10.1007/s11064-011-0694-9"	"n/a"
"POLB"	"rat"	"Wistar"	"female"	"8.65%"	"n/a"	"ovary"	"n/a"	"2"	"n/a"	"n/a"	"24"	"n/a"	"months"	"increased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4."	"10.1007/s11064-011-0694-9"	"n/a"
"POLB"	"rat"	"Wistar"	"male"	"27.9%"	"n/a"	"testis"	"n/a"	"2"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Polymerase assays were performed with activated DNA as template. The specific activity of pol b is expressed as nmol of radioactively labeled dCMP incorporated into acid insoluble fraction/mg protein/h multiplied by 4."	"10.1007/s11064-011-0694-9"	"n/a"
"POLB"	"mouse"	"wild type"	"male"	"44.0%"	"n/a"	"liver"	"n/a"	"4"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"Real-time reverse transcription–polymerase chain reaction."	"10.1093/gerona/61.5.427"	"n/a"
"POLB"	"mouse"	"wild type"	"male"	"50.0%"	"n/a"	"liver"	"n/a"	"4"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Western blotting."	"10.1093/gerona/61.5.427"	"n/a"
"PEX5"	"mouse"	"C57BL/6"	"male"	"50.0%"	"n/a"	"brain"	"n/a"	"3"	"n/a"	"n/a"	"30"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Method — Western blotting."	"10.1016/j.mcn.2020.103536"	"n/a"
"PEX5"	"mouse"	"C57BL/6"	"male"	"43.0%"	"n/a"	"cingulate cortex"	"n/a"	"3"	"n/a"	"n/a"	"30"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"Expression was measured using RNAScope technology."	"10.1016/j.mcn.2020.103536"	"n/a"
"PEX5"	"mouse"	"C57BL/6"	"male"	"39.0%"	"n/a"	"cortex in septo-striatal region"	"n/a"	"3"	"n/a"	"n/a"	"32"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Method — fluorescence intensity quantification."	"10.1016/j.mcn.2020.103536"	"n/a"
"PEX5"	"mouse"	"C57BL/6"	"male"	"21.0%"	"n/a"	"cortex in septo-diencephalic region"	"n/a"	"3"	"n/a"	"n/a"	"32"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Method — fluorescence intensity quantification."	"10.1016/j.mcn.2020.103536"	"n/a"
"PEX5"	"mouse"	"C57BL/6"	"male"	"29.0%"	"n/a"	"cortex in caudal diencephalon"	"n/a"	"3"	"n/a"	"n/a"	"32"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"Method — fluorescence intensity quantification."	"10.1016/j.mcn.2020.103536"	"n/a"
"PEX5"	"mouse"	"C57BL/6"	"female"	"28.0%"	"n/a"	"cortex in ristral diencephalon"	"n/a"	"3"	"n/a"	"n/a"	"32"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"Method — fluorescence intensity quantification."	"10.1016/j.mcn.2020.103536"	"n/a"
"PEX5"	"roundworm Caenorhabditis elegans"	"N2"	"hermaphrodites"	"57.0%"	"n/a"	"whole organism"	"n/a"	"1"	"n/a"	"n/a"	"10"	"n/a"	"days"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"n/a"	"10.1016/j.cels.2016.06.011"	"n/a"
"PEX5"	"roundworm Caenorhabditis elegans"	"N2"	"hermaphrodites"	"50.0%"	"n/a"	"whole organism"	"n/a"	"0"	"n/a"	"n/a"	"10"	"n/a"	"days"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"n/a"	"10.1016/j.cels.2016.06.011"	"n/a"
"HMGB2"	"mouse"	"C57BL/6J"	"all"	"7.0%"	"n/a"	"articular cartilage"	"n/a"	"4"	"n/a"	"n/a"	"6"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"number of cells expressing the gene"	"n/a"	"Knee joints were collected from WT mice aged: 4 months (n=7), 6 months (n=7), 9 months (n=9) and 12 months (n=7).

Immunohistochemistry was performed with rabbit anti-HMGB2 antibody (BD PharMingen). Pvalue: 9 months - P ＜ 0.05; 12 months - P ＜ 0.01."	"10.1073/pnas.0806062106"	"n/a"
"HMGB2"	"mouse"	"C57BL/6J"	"all"	"48.0%"	"n/a"	"articular cartilage"	"n/a"	"4"	"n/a"	"n/a"	"9"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"number of cells expressing the gene"	"n/a"	"Knee joints were collected from WT mice aged: 4 months (n=7), 6 months (n=7), 9 months (n=9) and 12 months (n=7).

Immunohistochemistry was performed with rabbit anti-HMGB2 antibody (BD PharMingen). Pvalue: 9 months - P ＜ 0.05; 12 months - P ＜ 0.01."	"10.1073/pnas.0806062106"	"n/a"
"HMGB2"	"mouse"	"C57BL/6J"	"all"	"69.0%"	"n/a"	"articular cartilage"	"n/a"	"4"	"n/a"	"n/a"	"12"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"number of cells expressing the gene"	"n/a"	"Knee joints were collected from WT mice aged: 4 months (n=7), 6 months (n=7), 9 months (n=9) and 12 months (n=7).

Immunohistochemistry was performed with rabbit anti-HMGB2 antibody (BD PharMingen). Pvalue: 9 months - P ＜ 0.05; 12 months - P ＜ 0.01."	"10.1073/pnas.0806062106"	"n/a"
"HMGB2"	"mouse"	"C57BL/6N"	"all"	"77.6%"	"n/a"	"brain, hippocampus dentate gyrus"	"n/a"	"2"	"n/a"	"n/a"	"4"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"The brain (hippocampus dentate gyrus) was removed from WT mice aged 2 months (n=4) and 6 months (n=4).

Immunohistochemistry, rabbit anti-HMGB2 (1:500; abcam, ab67282). Pvalue ＜ 0.05."	"10.1002/dvdy.24559"	"n/a"
"HMGB2"	"human"	"n/a"	"all"	"209.0%"	"n/a"	"plasma"	"n/a"	"20"	"n/a"	"n/a"	"70"	"n/a"	"years"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"The data for 20-24 vs. 70-80 years old.

 Circulating levels of HMGB2 in human plasma were investigated. Control - young donors 20-24 years old (n=4). The old donors were a cohort of 108 people aged 70 to 100 years (n=108).

 Protein concentrations were measured by the ELISA kit from Lifespan Biosciences (LS-F11643-1).

HMGB2 levels increased with age (R2 value=0.0826, Pearson correlation=0.546). Absolute levels of HMGB2 ranged from 0.4 to 7.9 ng/ml.

"	"10.1007/s11357-018-0015-1"	"n/a"
"HMGB2"	"human"	"n/a"	"all"	"292.0%"	"n/a"	"plasma"	"n/a"	"20"	"n/a"	"n/a"	"90"	"n/a"	"years"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"The data for 20-24 vs. 90-100 years old.

Circulating levels of HMGB2 in human plasma were investigated. Control - young donors 20-24 years old (n=4). The old donors were a cohort of 108 people aged 70 to 100 years (n=108).

 Protein concentrations were measured by the ELISA kit from Lifespan Biosciences (LS-F11643-1).

HMGB2 levels increased with age (R2 value=0.0826, Pearson correlation=0.546). Absolute levels of HMGB2 ranged from 0.4 to 7.9 ng/ml.

"	"10.1007/s11357-018-0015-1"	"n/a"
"GH1"	"mouse"	"C57BL/6"	"female"	"71.0%"	"n/a"	"spleen"	"n/a"	"1"	"n/a"	"n/a"	"7"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Western-blotting"	"10.1016/j.cellimm.2013.04.009"	"n/a"
"GH1"	"mouse"	"C57BL/6"	"female"	"116.0%"	"n/a"	"spleen"	"n/a"	"1"	"n/a"	"n/a"	"14"	"n/a"	"months"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Western-blotting"	"10.1016/j.cellimm.2013.04.009"	"n/a"
"HMGB1"	"rat"	"F344xBN"	"male"	"60.0%"	"n/a"	"hippocampus"	"n/a"	"3"	"n/a"	"n/a"	"24"	"n/a"	"months"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"Relative HMGB1 (mRNA and protein) expression was measured in the hippocampus of young (n = 5) and aged (n = 6) rats. Gene-expression data are presented relative to β-actin.

For mRNA analysis, quantitative SYBR Green PCR was used. P <0.05."	"10.1523/JNEUROSCI.1161-16.2016"	"n/a"
"HMGB1"	"rat"	"F344xBN"	"male"	"65.0%"	"n/a"	"hippocampus"	"n/a"	"3"	"n/a"	"n/a"	"24"	"n/a"	"months"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Relative HMGB1 (mRNA and protein) expression was measured in the hippocampus of young (n = 5) and aged (n = 6) rats. Gene-expression data are presented relative to β-actin.

Protein expression was determined by Western blot analysis (rabbit anti-rat HMGB-1 monoclonal antibody (1: 4000; Abcam) and mouse anti-rat β-actin (1: 200,000; Sigma- Aldrich). P <0.05."	"10.1523/JNEUROSCI.1161-16.2016"	"n/a"
"HMGB1"	"rat"	"F344xBN"	"male"	"46.0%"	"n/a"	"cerebrospinal fluid"	"n/a"	"3"	"n/a"	"n/a"	"24"	"n/a"	"months"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"HMGB1 was measured in the cerebrospinal fluid (CSF) of young (n = 8) and elderly (n = 8) rats. 

An ELISA for rat HMGB1 (LifeSpan BioSciences) was used to measure HMGB1 in CSF. P <0.05."	"10.1523/JNEUROSCI.1161-16.2016"	"n/a"
"GH1"	"rat"	"Sprague Dawley"	"female"	"30.0%"	"n/a"	"spleen"	"n/a"	"1"	"n/a"	"n/a"	"14"	"n/a"	"months"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"Slot-blotting"	"10.1016/j.cellimm.2013.04.009"	"n/a"
"HMGB1"	"rat"	"Wistar"	"male"	"50.0%"	"n/a"	"serum"	"n/a"	"2"	"n/a"	"n/a"	"8"	"n/a"	"weeks"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Not statistically significant. Premature skin aging induced by secondhand cigarette smoke exposure in a rat model was investigated. In the control group (n=12) HMGB1 levels in serum were evaluated by ELISA. "	"10.1016/j.bbrc.2014.11.040"	"n/a"
"HMGB1"	"rat"	"Wistar"	"male"	"100.0%"	"n/a"	"serum"	"n/a"	"2"	"n/a"	"n/a"	"10"	"n/a"	"weeks"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Premature skin aging induced by secondhand cigarette smoke exposure in a rat model was investigated. In the control group (n=12) HMGB1 levels in serum were evaluated by ELISA. "	"10.1016/j.bbrc.2014.11.040"	"n/a"
"HMGB1"	"rat"	"Wistar"	"male"	"145.0%"	"n/a"	"serum"	"n/a"	"2"	"n/a"	"n/a"	"12"	"n/a"	"weeks"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Premature skin aging induced by secondhand cigarette smoke exposure in a rat model was investigated. In the control group (n=12) HMGB1 levels in serum were evaluated by ELISA. p < 0.001."	"10.1016/j.bbrc.2014.11.040"	"n/a"
"HMGB1"	"human"	"n/a"	"all"	"6.2%"	"n/a"	"serum"	"n/a"	"24.6"	"n/a"	"n/a"	"41.4"	"n/a"	"years"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Not statistically significant. Three age groups of healthy donors (n=30 each):

young — mean 24.6 years, age range 18–28 years, 21 men and 9 women;

middle-aged — mean 41 years, age range 36–50 years, 24 men and 6 women, and elderly — mean 68 years, age range 65–78 years,17 men and 13 women.

The level of HMGB1 (ng/ml) was measured using ELISA. "	"10.1007/s40520-015-0402-8"	"n/a"
"HMGB1"	"human"	"n/a"	"all"	"22.7%"	"n/a"	"serum"	"n/a"	"24.6"	"n/a"	"n/a"	"68.5"	"n/a"	"years"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Three age groups of healthy donors (n=30 each):

young — mean 24.6 years, age range 18–28 years, 21 men and 9 women;

middle-aged — mean 41 years, age range 36–50 years, 24 men and 6 women, and elderly — mean 68 years, age range 65–78 years,17 men and 13 women.

The level of HMGB1 (ng/ml) was measured using ELISA. p < 0.05."	"10.1007/s40520-015-0402-8"	"n/a"
"GHRH"	"rat"	"Sprague Dawley"	"n/a"	"n/a"	"n/a"	"neurons"	"n/a"	"3"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"The synthesis and/or release of growth hormone releasing factor (GRF) in GRF-containing neurons are decreased, though GRF-containing neurons themselves remain alive and have the capacity to synthesize GRF."	"10.1159/000124950"	"n/a"
"PEX5"	"mouse"	"C57BL/6"	"male"	"85.0%"	"n/a"	"cingulate cortex"	"n/a"	"3"	"n/a"	"n/a"	"32"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"Quantification of relative RT-qPCR Pex5 expression. Young male: n=4, young female: n=4, aged male: n=4, and aged female n=4 (total n=16). *P<0.01, n.s. = not significant."	"10.1016/j.mcn.2020.103536"	"n/a"
"POLB"	"rat"	"Wistar"	"all"	"34.0%"	"n/a"	"neurons"	"n/a"	"6"	"n/a"	"n/a"	"26"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Polymerase assays were performed with poly(dA)·oligo(dT)12–18 as template primer."	"10.1016/S0736-5748(02)00079-5"	"n/a"
"POLB"	"mouse"	"C57BL/6"	"male"	"37.5%"	"n/a"	"brain"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Effect of age on β-pol activity as determined by an in vitro gap-filling reaction. P < 0.01."	"n/a"	"11890943"
"POLB"	"mouse"	"C57BL/6"	"male"	"68.0%"	"n/a"	"liver"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Effect of age on β-pol activity as determined by an in vitro gap-filling reaction. P < 0.01."	"n/a"	"11890943"
"POLB"	"mouse"	"C57BL/6"	"male"	"37.0%"	"n/a"	"spleen"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Effect of age on β-pol activity as determined by an in vitro gap-filling reaction. P < 0.01."	"n/a"	"11890943"
"POLB"	"mouse"	"C57BL/6"	"male"	"38.0%"	"n/a"	"testis"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Effect of age on β-pol activity as determined by an in vitro gap-filling reaction. P < 0.01."	"n/a"	"11890943"
"POLB"	"mouse"	"C57BL/6"	"male"	"43.0%"	"n/a"	"brain"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Western blotting. P < 0.01."	"n/a"	"11890943"
"POLB"	"mouse"	"C57BL/6"	"male"	"39.0%"	"n/a"	"kidney"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Western blotting. P < 0.05."	"n/a"	"11890943"
"POLB"	"mouse"	"C57BL/6"	"male"	"66.0%"	"n/a"	"liver"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Western blotting. P < 0.01."	"n/a"	"11890943"
"POLB"	"mouse"	"C57BL/6"	"male"	"57.0%"	"n/a"	"spleen"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Western blotting. P < 0.01."	"n/a"	"11890943"
"POLB"	"mouse"	"C57BL/6"	"male"	"40.0%"	"n/a"	"testis"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Western blotting. P < 0.01."	"n/a"	"11890943"
"POLB"	"mouse"	"C57BL/6"	"male"	"34.0%"	"n/a"	"brain"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"Northern blotting. P < 0.01."	"n/a"	"11890943"
"POLB"	"mouse"	"C57BL/6"	"male"	"48.0%"	"n/a"	"heart"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"Northern blotting. P < 0.05."	"n/a"	"11890943"
"POLB"	"mouse"	"C57BL/6"	"male"	"37.5%"	"n/a"	"kidney"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"Northern blotting. P < 0.05."	"n/a"	"11890943"
"POLB"	"mouse"	"C57BL/6"	"male"	"61.0%"	"n/a"	"liver"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"Northern blotting. P < 0.01."	"n/a"	"11890943"
"POLB"	"mouse"	"C57BL/6"	"male"	"50.0%"	"n/a"	"spleen"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"Northern blotting. P < 0.01."	"n/a"	"11890943"
"POLB"	"mouse"	"C57BL/6"	"male"	"27.0%"	"n/a"	"testis"	"n/a"	"5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"Northern blotting. P < 0.01."	"n/a"	"11890943"
"POLB"	"mouse"	"wild type"	"all"	"77.0%"	"n/a"	"neurons"	"n/a"	"1"	"n/a"	"n/a"	"3"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Polymerase assays were performed with poly-A-(dT)12 as template primer."	"n/a"	"6834434"
"POLB"	"mouse"	"wild type"	"all"	"80.0%"	"n/a"	"neurons"	"n/a"	"1"	"n/a"	"n/a"	"18"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Polymerase assays were performed with poly-A-(dT)12 as template primer."	"n/a"	"6834434"
"POLB"	"mouse"	"wild type"	"all"	"31.0%"	"n/a"	"glia"	"n/a"	"1"	"n/a"	"n/a"	"3"	"n/a"	"months"	"increased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Polymerase assays were performed with activated DNA as template primer."	"n/a"	"6834434"
"CXCL9"	"human"	"n/a"	"all"	"270.0%"	"n/a"	"blood"	"n/a"	"30"	"n/a"	"n/a"	"70"	"n/a"	"years"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"The comparison between 2 groups (20-40 years old and 60-80 years old) showed the significant increase of protein level in the aged group. 

"	"10.1038/s43587-021-00082-y"	"n/a"
"CXCL9"	"human"	"n/a"	"all"	"2300.0%"	"n/a"	"blood"	"n/a"	"30"	"n/a"	"n/a"	"88"	"n/a"	"years"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"The comparison between 2 groups (20-40 years old and 80-96 years old) showed the significant increase of protein level in the aged group. "	"10.1038/s43587-021-00082-y"	"n/a"
"CXCL9"	"mouse"	"wild type"	"all"	"120.0%"	"n/a"	"endothelial progenitor cells"	"n/a"	"3.5"	"n/a"	"n/a"	"24"	"n/a"	"months"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"n/a"	"10.1038/s43587-021-00082-y"	"n/a"
"BPIFB4"	"human"	"n/a"	"all"	"48.0%"	"n/a"	"plasma"	"n/a"	"40"	"n/a"	"n/a"	"70"	"n/a"	"years"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Middle-aged group = 35–45 years, old(er) group = 65–75 years. 

Method of protein quantification - ELISA"	"10.3389/fimmu.2020.01034"	"n/a"
"BPIFB4"	"human"	"n/a"	"all"	"140.0%"	"n/a"	"plasma"	"n/a"	"40"	"n/a"	"n/a"	"97"	"n/a"	"years"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Centenarian group: mean age 97, range 95–99. Control group: 65-75 years old.

Method of protein quantification - ELISA"	"10.3389/fimmu.2020.01034"	"n/a"
"BPIFB4"	"human"	"n/a"	"all"	"480.0%"	"n/a"	"plasma"	"n/a"	"52"	"n/a"	"n/a"	"96"	"n/a"	"years"	"increased gene expression"	"n/a"	"n/a"	"n/a"	"protein"	"n/a"	"Sample:  30 LLIs (>94 years, mean age 96 y.o.), 32 middle-aged individuals (age range: 45–59 years) 

Method of protein quantification - ELISA

"	"10.1186/s12979-015-0054-8"	"n/a"
"TLE1"	"mouse"	"C57BL/6J"	"male"	"50.0%"	"n/a"	"lung"	"n/a"	"5"	"n/a"	"n/a"	"36"	"n/a"	"months"	"decreased gene expression"	"n/a"	"n/a"	"n/a"	"mRNA"	"n/a"	"Gene expression was measured using the mouse Wnt signaling pathway RT2 Profiler PCR Array (SABiosciences/QIAGEN, PAMM-043E-4) using the manufacturer’s protocols. This array contains primers corresponding to 84 genes related to the Wnt pathway, five housekeeping genes for normalization, and positive and negative controls for the PCR reaction."	"10.1007/s11357-014-9618-3"	"n/a"
"POLA1"	"mouse"	"AB6F1"	"n/a"	"n/a"	"n/a"	"liver"	"n/a"	"7"	"n/a"	"n/a"	"15"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Activities of DNA polymerases were assayed in the nuclear extracts either without or in the presence of 4 mM N-ethylmaleimide or 0.1 mM 2’,3‘-dideoxythymidine triphosphate. DNA polymerase-alfa levels were determined as activities either depressed by N-ethylmaleimide or resistant to 2’,3‘-dideoxythymidine triphosphate."	"n/a"	"6699097"
"POLA1"	"mouse"	"AB6F1"	"n/a"	"n/a"	"n/a"	"liver"	"n/a"	"7"	"n/a"	"n/a"	"27.5"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Activities of DNA polymerases were assayed in the nuclear extracts either without or in the presence of 4 mM N-ethylmaleimide or 0.1 mM 2’,3‘-dideoxythymidine triphosphate. DNA polymerase-alfa levels were determined as activities either depressed by N-ethylmaleimide or resistant to 2’,3‘-dideoxythymidine triphosphate."	"n/a"	"6699097"
"POLA1"	"mouse"	"AB6F1"	"n/a"	"n/a"	"n/a"	"liver"	"n/a"	"7"	"n/a"	"n/a"	"32"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Activities of DNA polymerases were assayed in the nuclear extracts either without or in the presence of 4 mM N-ethylmaleimide or 0.1 mM 2’,3‘-dideoxythymidine triphosphate. DNA polymerase-alfa levels were determined as activities either depressed by N-ethylmaleimide or resistant to 2’,3‘-dideoxythymidine triphosphate."	"n/a"	"6699097"
"POLB"	"mouse"	"AB6F1"	"male"	"35.0%"	"n/a"	"liver"	"n/a"	"7"	"n/a"	"n/a"	"27.5"	"n/a"	"months"	"decreased protein activity"	"n/a"	"n/a"	"n/a"	"n/a"	"n/a"	"Activities of DNA polymerases were assayed in the nuclear extracts either without or in the presence of 4 mM N-ethylmaleimide or 0.1 mM 2’,3‘-dideoxythymidine triphosphate. DNA polymerase-beta levels were determined as activities either resistant to N-ethylmaleimide or inhibited by 2’,3‘-dideoxythymidine triphosphate."	"n/a"	"6699097"
